충전소명,주소,ID,충전기 형태,충전기 용량,X,Y
(RS)대구시_동천동행정복지센터,"대구 북구 대천로 81(동천동, 동천동 행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.558181326,35.937327172
(RS)대구시_동인동 행정복지센터,"대구 중구 국채보상로142길 19-5(동인동4가, 동인동주민센터) 지상1층 주차장",1,AC완속(싱글),7,128.609128257,35.867905931
(RS)대구시_동림플라자,대구 북구 한강로8길 20(금호동) 지하1층 주차장,1,3Mode,100,128.517549452,35.895484866
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",3,AC완속(싱글),7,128.629281664,35.877861466
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",1,3Mode,50,128.629281664,35.877861466
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",4,AC완속(싱글),7,128.629281664,35.877861466
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",2,AC완속(싱글),7,128.629281664,35.877861466
(RS)대구시_동구청,"대구 동구 아양로 207(신암동, 동구청) 지상1층 주차장",1,3Mode,50,128.635233946,35.886481455
(RS)대구시_동구청,"대구 동구 아양로 207(신암동, 동구청) 지상1층 주차장",2,AC완속(싱글),7,128.635233946,35.886481455
(RS)대구시_도평동 공영주차장,"대구 동구 팔공로24길 171(도동, 도평동 주민센터) 도평동 공영주차장(도평동행정복지센터 뒤)",1,3Mode,50,128.650131088,35.909979323
(RS)대구시_도원동 행정복지센터,"대구 달서구 한실로 53(도원동, 도원동행정복지센터) 지상1층 주차장",1,AC완속(싱글),7,128.532188596,35.807483110
(RS)대구시_도시관리본부,"대구 달서구 성서공단로 58(대천동, 시설안전관리사무소) 지상1층 주차장",3,AC완속(싱글),7,128.489806864,35.833154750
(RS)대구시_도시관리본부,"대구 달서구 성서공단로 58(대천동, 시설안전관리사무소) 지상1층 주차장",1,3Mode,50,128.489806864,35.833154750
