충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_봉덕2동행정복지센터,"대구 남구 이천로10길 50(봉덕동, 봉덕2동주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_본리동 행정복지센터,"대구 달서구 당산로 37-14(본리동, 본리동행정복지센터, 본리종합사회복지관) 본리동행정복지센터",01,3Mode,50
(RS)대구시_본동행정복지센터,"대구 달서구 구마로26길 62(본동, 본동행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_복현장미공원,"대구 북구 경진로남1길 40(복현동, 장미공원) 실내주차장",01,3Mode,50
(RS)대구시_복현2동행정복지센터,"대구 북구 복현로8길 16-5(복현동, 복현2동 행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_범어1동,"대구 수성구 범어천로 97(범어동, 범어1동 행정복지센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_범물1동,"대구 수성구 범안로 76(범물동, 범물1동 행정복지센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_방촌동 행정복지센터,"대구 동구 동촌로48길 26(방촌동, 방촌동주민센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_반야월공영주차장,"대구광역시 동구 신기동 174 (신기동, 공영주차장) 지상1층 주차장",01,3Mode,50
(RS)대구시_문양역공영주차장,"대구광역시 달성군 다사읍 문양리 470(문양리, 공영주차장) 지상1층 주차장",01,3Mode,50
(RS)대구시_무태조야동 행정복지센터,"대구 북구 호국로43길 20(서변동, 무태조야동 행정복지센터) 무태조야동 행정복지센터",01,3Mode,50
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",01,3Mode,50
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",03,AC완속(싱글),7
(RS)대구시_명성푸르지오,"대구 북구 침산로 153(침산동, 명성푸르지오) 지하2층 주차장",02,AC완속(싱글),7
